user_id,recomendations
89,"[874972, 1029743, 951590, 1082185, 1127831]"
90,"[874972, 923789, 1003188, 1070820, 879393]"
91,"[874972, 1088147, 838637, 1029743, 1113667]"
92,"[874972, 6979005, 1080853, 900802, 880150]"
93,"[874972, 1029743, 1082185, 1127831, 951590]"
94,"[874972, 1076580, 866211, 878996, 840361]"
95,"[874972, 910673, 10341697, 6534035, 922561]"
96,"[874972, 951590, 995242, 1082185, 1127831]"
97,"[874972, 1122358, 952408, 1075368, 1099164]"
98,"[874972, 1058997, 879755, 1091858, 921836]"
99,"[874972, 898601, 1085031, 824073, 12782182]"
100,"[863762, 1111786, 907631, 891752, 1116096]"
101,"[12731432, 862349, 821083, 8090521, 1056509]"
102,"[874972, 1029743, 1082185, 1127831, 951590]"
103,"[874972, 1029743, 1082185, 1106523, 1127831]"
104,"[906335, 1074333, 1069003, 930955, 904236]"
105,"[874972, 1122568, 838563, 13008412, 941741]"
106,"[874972, 1093413, 1119051, 8090521, 965842]"
107,"[874972, 1037840, 916381, 1029743, 1082185]"
108,"[874972, 1106523, 951590, 1082185, 1127831]"
109,"[874972, 13842214, 824005, 908531, 951412]"
110,"[874972, 1031833, 1119089, 844165, 1133018]"
111,"[874972, 8090536, 840601, 6602327, 12811532]"
112,"[874972, 7168026, 12384177, 1029743, 1082185]"
113,"[874972, 6979518, 8203451, 1070820, 7410071]"
114,"[874972, 1116096, 1044078, 5568489, 1029743]"
115,"[947858, 1069522, 836286, 918598, 989275]"
116,"[874972, 923746, 850058, 1037863, 1029743]"
117,"[874972, 1019643, 1135460, 962229, 995242]"
118,"[9524291, 9803601, 9911484, 1058997, 1082185]"
119,"[874972, 1082185, 999581, 995242, 940947]"
120,"[874972, 1029743, 1082185, 1127831, 951590]"
121,"[874972, 8090537, 856060, 835098, 901666]"
122,"[874972, 9419525, 7409971, 1035676, 1053176]"
123,"[874972, 8090509, 852080, 1029743, 981760]"
124,"[874972, 12263788, 844179, 833025, 1035676]"
125,"[874972, 856252, 9884484, 5585510, 1092026]"
126,"[874972, 1019247, 962185, 898068, 1029743]"
127,"[874972, 1122568, 1123720, 1075368, 13842214]"
128,"[874972, 847241, 962568, 1015296, 1082185]"
129,"[874972, 1106523, 951590, 1082185, 1127831]"
130,"[874972, 1029743, 1082185, 1127831, 951590]"
131,"[874972, 1084968, 1048068, 1075214, 1026209]"
132,"[874972, 1084968, 1126899, 854852, 1096036]"
133,"[874972, 6514160, 887102, 995242, 1081177]"
134,"[874972, 6533362, 862682, 5592931, 862335]"
135,"[874972, 13115813, 879876, 852360, 826249]"
136,"[874972, 1060005, 1032512, 8090521, 1038462]"
137,"[874972, 1029743, 951590, 1082185, 1127831]"
138,"[874972, 9836106, 1009449, 5569230, 912137]"
139,"[12262830, 5569471, 916381, 1058997, 879755]"
140,"[874972, 832678, 951821, 914190, 5591083]"
141,"[874972, 1108854, 1048472, 1029743, 1082185]"
142,"[874972, 1078741, 1012315, 1082212, 990797]"
143,"[874972, 978077, 1127758, 1106523, 965766]"
144,"[874972, 1029743, 1127831, 1082185, 951590]"
145,"[874972, 1106523, 1127831, 1082185, 951590]"
146,"[874972, 1109948, 893867, 995242, 1127470]"
147,"[874972, 1029743, 1082185, 1127831, 951590]"
148,"[874972, 1082185, 1106523, 1127831, 951590]"
149,"[874972, 1029743, 916122, 1082185, 1127831]"
150,"[874972, 1029743, 1082185, 1127831, 951590]"
151,"[874972, 1005456, 824005, 5569230, 1028473]"
152,"[874972, 1029743, 1082185, 1127831, 951590]"
153,"[874972, 909750, 1110857, 1062128, 879393]"
154,"[874972, 1029743, 1082185, 1127831, 951590]"
155,"[874972, 1082185, 1106523, 1127831, 951590]"
156,"[874972, 1057260, 5591154, 835098, 976214]"
157,"[874972, 916122, 826249, 1126899, 948832]"
158,"[874972, 1082185, 834826, 862349, 12731714]"
159,"[874972, 1106301, 1050851, 1004906, 9420312]"
160,"[899019, 862349, 900586, 1101010, 6034857]"
161,"[917384, 916381, 1119051, 9677202, 6034964]"
162,"[874972, 894447, 1090820, 1070820, 1122358]"
163,"[874972, 1029743, 1082185, 1127831, 951590]"
164,"[874972, 888054, 971949, 5592931, 908283]"
165,"[874972, 1029743, 951590, 1082185, 1127831]"
166,"[874972, 995242, 934172, 1053690, 1023196]"
167,"[874972, 1085435, 953180, 1042765, 1009046]"
168,"[874972, 921504, 878996, 1029743, 1018050]"
169,"[874972, 1037894, 12757316, 1099164, 1029743]"
170,"[874972, 1029743, 951590, 1082185, 1127831]"
171,"[933354, 9913338, 907625, 1029743, 1082185]"
172,"[874972, 1029743, 1082185, 1106523, 1127831]"
173,"[874972, 1029743, 1082185, 1127831, 951590]"
174,"[825343, 900586, 5574409, 1051323, 1085983]"
175,"[874972, 1029743, 1082185, 1127831, 951590]"
176,"[874972, 1029743, 1082185, 1127831, 951590]"
177,"[874972, 1029743, 951590, 1082185, 1127831]"
178,"[874972, 1133018, 1110572, 963686, 949023]"
179,"[874972, 1029743, 1082185, 1127831, 951590]"
180,"[874972, 951590, 995242, 1082185, 1127831]"
181,"[874972, 1029743, 951590, 1082185, 1127831]"
182,"[874972, 1029743, 1082185, 1127831, 951590]"
183,"[874972, 883404, 1029743, 1082185, 1106523]"
184,"[848029, 916990, 12384365, 998444, 1082185]"
185,"[874972, 1101010, 835243, 1029743, 983584]"
186,"[874972, 1029743, 1082185, 1127831, 951590]"
187,"[849202, 908531, 961554, 971949, 15926775]"
188,"[874972, 879755, 847982, 1029743, 1082185]"
189,"[874972, 1029743, 1082185, 1127831, 951590]"
190,"[874972, 942817, 825365, 1079228, 1029743]"
191,"[874972, 1015474, 1039156, 1029743, 1082185]"
192,"[874972, 9803601, 1129576, 5569230, 995242]"
193,"[1134483, 9420067, 1106523, 944139, 831712]"
194,"[874972, 923746, 825541, 1051468, 1034956]"
195,"[12262830, 1060005, 1007796, 845193, 995242]"
196,"[970747, 1029743, 1082185, 1106523, 1127831]"
197,"[874972, 7462562, 1126899, 838186, 882830]"
198,"[836445, 8090653, 907099, 1075368, 908531]"
199,"[874972, 849843, 1029743, 1082185, 1106523]"
200,"[874972, 1058997, 898601, 909894, 1029743]"
201,"[874972, 8359154, 844179, 6034857, 1133018]"
202,"[12262830, 1019247, 1126895, 1086740, 944534]"
203,"[874972, 914190, 948384, 5569471, 1029743]"
204,"[874972, 5569230, 1053690, 921504, 9911484]"
205,"[933354, 934369, 919180, 1106523, 1137688]"
206,"[874972, 1029743, 1082185, 1127831, 951590]"
207,"[874972, 1029743, 1082185, 1127831, 951590]"
208,"[874972, 951190, 826249, 862349, 879504]"
209,"[825343, 9338009, 977545, 819978, 849843]"
210,"[12262778, 1130458, 911470, 1135868, 910473]"
211,"[874972, 1110572, 1004390, 962229, 832678]"
212,"[874972, 13842214, 847982, 1056509, 995242]"
213,"[1000753, 1102959, 1029743, 1082185, 1106523]"
214,"[874972, 1047769, 12782182, 944836, 1019643]"
215,"[874972, 981760, 916122, 916993, 1082185]"
216,"[874972, 6533936, 974204, 1029743, 1082185]"
217,"[1000753, 908531, 1046756, 995242, 895930]"
218,"[969725, 1085604, 1074333, 894439, 1029743]"
219,"[1034176, 1056509, 963835, 5569471, 972665]"
220,"[874972, 1038462, 9487606, 1016800, 995242]"
221,"[874972, 6534077, 981760, 1133018, 952317]"
222,"[874972, 962568, 859075, 1058997, 1071759]"
223,"[874972, 1029743, 1127831, 1082185, 951590]"
224,"[874972, 1102879, 987122, 1029743, 1082185]"
225,"[874972, 829291, 902172, 849297, 9487603]"
226,"[874972, 1029743, 1082185, 1106523, 1127831]"
227,"[874972, 1104604, 908531, 898601, 890695]"
228,"[874972, 1101725, 1029743, 1082185, 1106523]"
229,"[874972, 1106523, 951590, 1082185, 1127831]"
230,"[874972, 845193, 843744, 995242, 941183]"
231,"[874972, 1029743, 1082185, 1127831, 951590]"
232,"[1137346, 870547, 6534035, 1106523, 1119860]"
233,"[833940, 995242, 934369, 5591154, 859237]"
234,"[874972, 1029743, 1082185, 1127831, 951590]"
235,"[1110111, 1133018, 911470, 862732, 908531]"
236,"[874972, 857554, 829852, 1076056, 1029743]"
237,"[874972, 1029743, 1082185, 1127831, 951590]"
238,"[874972, 1029743, 1082185, 1127831, 951590]"
239,"[874972, 1072693, 856772, 1133018, 976864]"
240,"[12731432, 5569230, 1106523, 888543, 923746]"
241,"[874972, 1029743, 1082185, 1106523, 1127831]"
242,"[874972, 965766, 895295, 862732, 1039156]"
243,"[1075007, 1053690, 1110142, 1126899, 6034857]"
244,"[874972, 849843, 1133018, 834117, 851468]"
245,"[874972, 1029743, 1082185, 1106523, 1127831]"
246,"[874972, 1051468, 1042438, 1070820, 922127]"
247,"[874972, 1044188, 1070845, 1133018, 1082185]"
248,"[874972, 1029743, 1082185, 1106523, 1127831]"
249,"[874972, 1029743, 15926886, 1029743, 1082185]"
250,"[874972, 965766, 840361, 844165, 8090537]"
251,"[874972, 936914, 960791, 1075368, 1070820]"
252,"[874972, 1029743, 1082185, 1106523, 1127831]"
253,"[874972, 1073150, 995896, 965693, 1127758]"
254,"[874972, 982493, 1029743, 1082185, 1106523]"
255,"[874972, 1082185, 1106523, 1127831, 951590]"
256,"[874972, 929730, 1101173, 862349, 1075368]"
257,"[874972, 883404, 993638, 1029743, 1082185]"
258,"[874972, 6979518, 1000050, 1048257, 995242]"
259,"[874972, 1082185, 1011578, 1039156, 940947]"
260,"[874972, 909714, 834117, 1045586, 1082185]"
261,"[874972, 1029743, 1082185, 1127831, 951590]"
262,"[874972, 922561, 1043751, 1040807, 859075]"
263,"[1002787, 901460, 1099905, 994223, 13841744]"
264,"[874972, 844054, 1104695, 1018740, 961554]"
265,"[874972, 1029743, 1082185, 1106523, 1127831]"
266,"[874972, 1070820, 994223, 5569471, 995965]"
267,"[874972, 1029743, 1082185, 1106523, 1127831]"
268,"[874972, 837107, 1029743, 1082185, 1106523]"
269,"[874972, 895930, 1031831, 962229, 1139782]"
270,"[1103808, 833724, 870547, 1053690, 1101010]"
271,"[1029688, 8090521, 856252, 1058997, 908531]"
272,"[874972, 1029743, 1082185, 1127831, 951590]"
273,"[874972, 873964, 13115501, 6979579, 859010]"
274,"[874972, 841228, 1084177, 1029743, 1082185]"
275,"[874972, 6463451, 936508, 857554, 961269]"
276,"[12810391, 995896, 12731544, 1042942, 1052912]"
277,"[874972, 1106523, 1127831, 1082185, 951590]"
278,"[874972, 962229, 8090537, 995242, 856060]"
279,"[874972, 1106523, 951590, 1082185, 1127831]"
280,"[874972, 1106523, 1029743, 1082185, 1106523]"
281,"[874972, 862349, 1055504, 5585510, 934399]"
282,"[874972, 5572828, 985999, 6034857, 10344718]"
283,"[878715, 6034577, 862682, 856252, 865705]"
284,"[874972, 996156, 12301405, 1101173, 1029743]"
285,"[874972, 839094, 852182, 981760, 1082185]"
286,"[10198378, 1119051, 1029743, 1082185, 1106523]"
287,"[874972, 13008334, 1110042, 1106523, 969866]"
288,"[874972, 1126899, 1018050, 908531, 932179]"
289,"[874972, 989824, 962568, 1022254, 981760]"
290,"[874972, 867188, 873964, 962229, 952317]"
291,"[874972, 6704207, 1044078, 1108131, 949965]"
292,"[874972, 981760, 883404, 1106523, 1053690]"
293,"[874972, 1082185, 1106523, 1127831, 951590]"
294,"[874972, 921836, 1003649, 9245108, 953180]"
295,"[874972, 1029743, 1082185, 1127831, 951590]"
296,"[874972, 1029743, 1082185, 1127831, 951590]"
297,"[874972, 831063, 8090521, 908531, 1110572]"
298,"[874972, 1029743, 1082185, 1127831, 951590]"
299,"[874972, 1029743, 1082185, 1127831, 951590]"
300,"[874972, 1029743, 1082185, 1106523, 1127831]"
301,"[874972, 844165, 924423, 12428017, 9527323]"
302,"[874972, 1062128, 1005274, 1101174, 887342]"
303,"[874972, 9526673, 950206, 819978, 1102416]"
304,"[874972, 1038462, 972931, 873627, 1107553]"
305,"[874972, 913210, 9858847, 1011876, 1029743]"
306,"[874972, 825541, 904813, 862349, 1101010]"
307,"[874972, 898212, 970202, 1074040, 1039156]"
308,"[874972, 950206, 1064380, 1110572, 963835]"
309,"[874972, 1029743, 1127831, 1082185, 951590]"
310,"[874972, 1029743, 1082185, 1127831, 951590]"
311,"[874972, 882826, 823862, 1110572, 1029743]"
312,"[874972, 6551782, 965766, 936830, 901776]"
313,"[874972, 1029743, 1082185, 1127831, 951590]"
314,"[833940, 1133018, 878996, 995965, 1082185]"
315,"[874972, 1029743, 1082185, 1127831, 951590]"
316,"[836445, 5585510, 845307, 1122358, 5592931]"
317,"[874972, 1101010, 1107553, 983584, 12171656]"
318,"[874972, 1106301, 977481, 5568729, 918335]"
319,"[874972, 1127831, 995242, 1082185, 951590]"
320,"[874972, 1082185, 1106523, 1127831, 951590]"
321,"[874972, 856772, 5568729, 944836, 964520]"
322,"[874972, 1044078, 979707, 901062, 12984227]"
323,"[826666, 1122358, 921836, 1126895, 923746]"
324,"[9521679, 999625, 1022254, 845715, 1026258]"
325,"[12810464, 901460, 896085, 5569471, 1011300]"
326,"[874972, 879504, 1101010, 8090521, 1040807]"
327,"[874972, 1133018, 884774, 883963, 15926844]"
328,"[874972, 1051516, 991546, 1070820, 1028816]"
329,"[948670, 919180, 888532, 1029743, 854852]"
330,"[874972, 1053690, 5592931, 1106523, 923746]"
331,"[874972, 862349, 1082185, 1029743, 1082185]"
332,"[874972, 5565925, 940947, 1065593, 10457044]"
333,"[874972, 899624, 1029743, 1082185, 1106523]"
334,"[874972, 6034577, 1056509, 1029743, 860975]"
335,"[874972, 1029743, 1127831, 1082185, 951590]"
336,"[874972, 1029743, 951590, 1082185, 1127831]"
337,"[874972, 1082185, 1106523, 1127831, 951590]"
338,"[874972, 1039156, 895268, 1028816, 1082185]"
339,"[874972, 1044188, 840361, 1106523, 1051211]"
340,"[874972, 1082185, 1106523, 1127831, 951590]"
341,"[874972, 1029743, 1082185, 1127831, 951590]"
342,"[1000753, 870515, 854852, 847982, 1029743]"
343,"[874972, 1040807, 865705, 909714, 914577]"
344,"[874972, 1029743, 981760, 1082185, 1127831]"
345,"[874972, 1071759, 999639, 6602697, 1003188]"
346,"[825343, 865528, 863699, 986912, 1101010]"
347,"[874972, 1024306, 930118, 1029743, 1082185]"
348,"[947858, 985893, 1031083, 5585510, 1106523]"
349,"[9832469, 995242, 963365, 900802, 885406]"
350,"[874972, 1044078, 1106523, 1029743, 1082185]"
351,"[1000753, 13115914, 6602697, 892573, 1057260]"
352,"[874972, 1029743, 1082185, 1127831, 951590]"
353,"[874972, 948086, 1029743, 1082185, 1106523]"
354,"[849202, 1058997, 1056509, 1097001, 1008814]"
355,"[874972, 1029743, 1082185, 1127831, 951590]"
356,"[874972, 1049735, 1084968, 1029743, 1082185]"
357,"[833940, 908531, 1133018, 909894, 1000050]"
358,"[981677, 14106445, 5570408, 5569230, 1015296]"
359,"[874972, 1029743, 1082185, 1127831, 951590]"
360,"[874972, 1110572, 1037894, 1031831, 1029743]"
361,"[970866, 8203451, 1002771, 962229, 1101010]"
362,"[874972, 983795, 922127, 923746, 12731714]"
363,"[874972, 1029743, 1082185, 1127831, 951590]"
364,"[874972, 962229, 908531, 1092026, 860975]"
365,"[874972, 832678, 924427, 986912, 1107553]"
366,"[874972, 858302, 1065593, 957741, 1128240]"
367,"[9524291, 993466, 907392, 823775, 862349]"
368,"[874972, 1029743, 1082185, 1127831, 951590]"
369,"[874972, 986912, 8090509, 1106523, 923746]"
370,"[874972, 1029743, 1082185, 1127831, 951590]"
371,"[874972, 1037332, 944836, 1102927, 919423]"
372,"[874972, 1106523, 1127831, 1082185, 951590]"
373,"[874972, 986912, 999779, 9926758, 1094955]"
374,"[1108094, 7409670, 1009046, 1029743, 923746]"
375,"[874972, 885023, 1058021, 1029743, 1082185]"
376,"[874972, 1095068, 1081189, 849843, 1061220]"
377,"[874972, 959985, 994223, 1138443, 1029743]"
378,"[874972, 910673, 1082185, 9859060, 15926886]"
379,"[874972, 1029743, 1082185, 1127831, 951590]"
380,"[1013928, 952317, 906017, 1098284, 1053690]"
381,"[874972, 1106523, 856772, 6034857, 923746]"
382,"[874972, 926905, 1106523, 7168026, 1043787]"
383,"[874972, 1058997, 1082185, 854754, 979707]"
384,"[825343, 10344971, 843756, 1075368, 828143]"
385,"[874972, 1010190, 854852, 914577, 1082185]"
386,"[874972, 1053690, 1084597, 1108131, 995242]"
387,"[878715, 916990, 913210, 1126899, 8090536]"
388,"[874972, 995242, 1076608, 5569327, 906763]"
389,"[887474, 947798, 1133018, 856252, 921836]"
390,"[874972, 999714, 927860, 1029743, 1082185]"
391,"[874972, 1106523, 951590, 1082185, 1127831]"
392,"[874972, 972665, 825176, 1028473, 6034577]"
393,"[1013928, 896085, 1070272, 1029743, 1108168]"
394,"[9521679, 13842090, 921836, 986912, 1133018]"
395,"[874972, 1098066, 1053690, 5568378, 926233]"
396,"[874972, 1082185, 993441, 834103, 1135460]"
397,"[874972, 951176, 978343, 1058997, 892573]"
398,"[874972, 5569230, 916381, 995242, 908531]"
399,"[874972, 1029743, 1127831, 1082185, 951590]"
400,"[874972, 6979545, 6979803, 5567702, 883404]"
401,"[874972, 5574409, 1068957, 986912, 827683]"
402,"[970747, 1051468, 821083, 892573, 819978]"
403,"[874972, 1029743, 1127831, 1082185, 951590]"
404,"[874972, 5569471, 864279, 1121213, 905817]"
405,"[874972, 12781777, 906883, 962229, 13842088]"
406,"[874972, 862349, 934399, 1116821, 1082185]"
407,"[9835223, 995242, 908531, 883404, 826249]"
408,"[874972, 1106523, 951590, 1082185, 1127831]"
409,"[874972, 862349, 909750, 1038443, 1125943]"
410,"[874972, 923746, 911812, 962229, 995242]"
411,"[874972, 1029743, 1082185, 1106523, 1127831]"
412,"[874972, 6463717, 1082185, 986912, 1133018]"
413,"[874972, 5585510, 838186, 1106523, 5569230]"
414,"[874972, 1093413, 833025, 971922, 1029743]"
415,"[864893, 1056509, 1133018, 999104, 960791]"
416,"[874972, 1106523, 951590, 1082185, 1127831]"
417,"[874972, 1081189, 829722, 1065593, 844165]"
418,"[874972, 1020962, 1119405, 1134161, 13190349]"
419,"[874972, 1106523, 951590, 1082185, 1127831]"
420,"[874972, 961747, 1029743, 1029743, 1082185]"
421,"[874972, 1139782, 9338009, 1092588, 6533936]"
422,"[874972, 1127831, 995242, 1082185, 951590]"
423,"[874972, 1029743, 1127831, 1082185, 951590]"
424,"[874972, 1029743, 1082185, 1127831, 951590]"
425,"[866548, 1048727, 1092303, 1070820, 913210]"
426,"[874972, 1110409, 1013407, 899682, 1057260]"
427,"[874972, 840361, 1037863, 995242, 1082185]"
428,"[874972, 951590, 995242, 1082185, 1127831]"
429,"[874972, 5585510, 993638, 1056509, 995242]"
430,"[874972, 1075368, 995242, 983584, 5569230]"
431,"[874972, 1029743, 1082185, 1127831, 951590]"
432,"[874972, 907128, 858373, 825994, 975649]"
433,"[874972, 1013531, 963971, 1106523, 1082185]"
434,"[874972, 10121965, 1039781, 10284972, 1046587]"
435,"[874972, 8177622, 15926775, 899624, 1135681]"
436,"[874972, 981760, 5569230, 1029743, 1082185]"
437,"[948670, 1039156, 1029743, 1082185, 1106523]"
438,"[874972, 1019247, 6534480, 9881593, 1003188]"
439,"[874972, 1029743, 1082185, 1127831, 951590]"
440,"[874972, 1029743, 1082185, 1127831, 951590]"
441,"[874972, 1009046, 1038985, 12810393, 1124971]"
442,"[874972, 909894, 910439, 1126899, 1085604]"
443,"[874972, 923746, 866211, 1057260, 862349]"
444,"[874972, 1029743, 1082185, 1127831, 951590]"
445,"[874972, 1029743, 1082185, 1127831, 951590]"
446,"[874972, 1029743, 1082185, 1106523, 1127831]"
447,"[874972, 986912, 947326, 1057260, 995242]"
448,"[874972, 1029743, 1127831, 1082185, 951590]"
449,"[970866, 1053690, 13007355, 913210, 971922]"
450,"[12810391, 1101010, 923746, 13842090, 995242]"
451,"[874972, 963868, 999971, 1004906, 916122]"
452,"[874972, 1106523, 1127831, 1082185, 951590]"
453,"[874972, 1029743, 951590, 1082185, 1127831]"
454,"[9835223, 1016800, 844165, 5585510, 995242]"
455,"[874972, 1082185, 1106523, 1127831, 951590]"
456,"[874972, 1029743, 1082185, 1127831, 951590]"
457,"[874972, 844165, 1082185, 1029743, 911311]"
458,"[874972, 961554, 5587938, 1058997, 1023958]"
459,"[863762, 1075313, 885290, 972312, 1029743]"
460,"[874972, 981760, 826385, 1029743, 1082185]"
461,"[874972, 909714, 979566, 995242, 1050851]"
462,"[874972, 1043751, 854042, 995242, 13841744]"
463,"[948670, 933067, 1082185, 1046689, 1133018]"
464,"[874972, 9677236, 1126895, 856252, 995242]"
465,"[874972, 1106523, 1127831, 1082185, 951590]"
466,"[874972, 832001, 10341697, 859191, 1029743]"
467,"[874972, 916122, 1135886, 834117, 7167945]"
468,"[874972, 9803810, 849297, 1098284, 1122358]"
469,"[874972, 1137775, 883932, 901062, 819978]"
470,"[874972, 1030093, 1065593, 990256, 835098]"
471,"[874972, 995242, 852360, 8090521, 911088]"
472,"[874972, 1082185, 1106523, 1127831, 951590]"
473,"[874972, 1106523, 951590, 1082185, 1127831]"
474,"[874972, 1030093, 1065593, 1029743, 1082185]"
475,"[874972, 1106523, 916122, 1082185, 1127831]"
476,"[874972, 1029743, 1082185, 1127831, 951590]"
477,"[948670, 879755, 13115579, 1029743, 13945244]"
478,"[874972, 8090440, 1029743, 1082185, 1106523]"
479,"[874972, 1029743, 1082185, 1106523, 1127831]"
480,"[874972, 1009449, 1029743, 1082185, 1106523]"
481,"[874972, 1029743, 5569230, 1082185, 1127831]"
482,"[836445, 8090537, 1101010, 1133018, 999581]"
483,"[874972, 879755, 1077588, 1029743, 1082185]"
484,"[833940, 819330, 995242, 1044759, 827806]"
485,"[12810391, 908531, 868764, 6533608, 1067779]"
486,"[874972, 1029743, 1082185, 1127831, 951590]"
487,"[874972, 906763, 7169034, 1029743, 1082185]"
488,"[874972, 1106523, 1127831, 1082185, 951590]"
489,"[874972, 845715, 909894, 986912, 1058997]"
490,"[874972, 1029743, 1127831, 1082185, 951590]"
491,"[874972, 994223, 1051468, 9858847, 1100972]"
492,"[874972, 1029743, 1127831, 1082185, 951590]"
493,"[874972, 1003188, 8090513, 873627, 936355]"
494,"[874972, 1029743, 1082185, 1127831, 951590]"
495,"[874972, 995242, 940731, 995965, 923746]"
496,"[874972, 1029743, 1082185, 1127831, 951590]"
497,"[874972, 911088, 7410290, 942778, 837304]"
498,"[874972, 1029743, 1082185, 1127831, 951590]"
499,"[874972, 1029743, 1082185, 1127831, 951590]"
500,"[874972, 1029743, 1082185, 1127831, 951590]"
501,"[874972, 1029743, 1082185, 1127831, 951590]"
502,"[874972, 910473, 908531, 1029743, 832678]"
503,"[874972, 1003188, 9881666, 8090536, 1073150]"
504,"[874972, 1029743, 1082185, 1127831, 951590]"
505,"[874972, 1127716, 1029743, 1082185, 1106523]"
506,"[849202, 1026118, 1104414, 855138, 1013641]"
